CONTAINER_ID,ALERT_TRIGGERED_TIME,SERVICED_TIME,PICK_UP_TIME_HRS,OVERFLOW
"""613173b0-84a2-11e9-90ea-d7ce5fb47f48""",2019-06-18T02:47:03Z,2019-06-18T05:46:36Z,2.99,1
"""68003be0-7a57-11e9-8b14-73a6e340fb49""",2019-06-25T21:18:47Z,2019-06-26T16:40:55Z,19.37,1
"""33828ec0-8c74-11e9-bb28-5dfdf6065b8a""",2019-06-20T18:25:49Z,2019-06-20T21:38:03Z,3.20,1
"""33828ec0-8c74-11e9-bb28-5dfdf6065b8a""",2019-06-22T05:00:25Z,2019-06-23T02:27:40Z,21.45,1
"""113b3810-7a65-11e9-824e-3457da1e41eb""",2019-06-22T19:14:35Z,2019-06-23T23:55:04Z,28.67,1
"""1c83c710-9391-11e9-84a1-369cc6e98c62""",2019-06-22T06:14:26Z,2019-06-22T12:45:12Z,6.51,1
"""f88d74b0-849e-11e9-a81a-8edaa1859b99""",2019-06-18T19:57:31Z,2019-06-19T00:58:35Z,5.02,1
"""e746e3e0-6d1e-11e9-b337-d23794222028""",2019-06-23T15:56:17Z,2019-06-23T22:43:03Z,6.78,1
"""9d3ee3d0-7a69-11e9-9e20-42649f888bc7""",2019-06-23T00:36:58Z,2019-06-23T02:12:23Z,1.59,1
"""32c8d900-6de6-11e9-bbaa-a7f421327391""",2019-06-20T18:47:32Z,2019-06-21T06:57:20Z,12.16,1
"""5d8363a0-7a8d-11e9-a03c-a2ab7e62955d""",2019-06-23T18:28:10Z,2019-06-24T01:21:56Z,6.90,1
"""12744540-2d55-11e8-bcc1-309ced4e45f3""",2019-06-19T05:57:32Z,2019-06-19T23:38:05Z,17.68,0
"""974fd530-8c73-11e9-b341-ee94fde63239""",2019-06-26T08:50:55Z,2019-06-26T12:58:05Z,4.12,0
"""f8142420-80bb-11e9-9b8d-81f28d16ec99""",2019-06-21T04:06:47Z,2019-06-21T06:08:05Z,2.02,0
"""59778990-8568-11e9-9df9-cb804e01e293""",2019-06-18T04:11:48Z,2019-06-19T00:23:50Z,20.20,0
"""0ac45e40-86fd-11e9-aa68-74f906d41860""",2019-06-21T06:47:27Z,2019-06-21T13:26:10Z,6.65,0
"""acc8bb30-80ab-11e9-ab96-9b206525aada""",2019-06-18T06:52:16Z,2019-06-21T13:53:55Z,79.03,0
"""f7ad6f10-91fe-11e9-9bdb-42953e94a223""",2019-06-25T16:42:24Z,2019-06-25T23:07:22Z,6.42,0
"""ba854d90-8c88-11e9-b67c-27a6519831ae""",2019-06-18T04:30:18Z,2019-06-18T05:38:28Z,1.14,0
"""5d994220-9071-11e9-9942-5dc3a19cc420""",2019-06-26T05:16:17Z,2019-06-26T13:27:19Z,8.18,0
"""2cc0dad0-8c8b-11e9-a01d-efc8239caad3""",2019-06-22T16:55:39Z,2019-06-22T22:35:02Z,5.66,1
"""ad304fa0-920f-11e9-809c-a58936651480""",2019-06-21T05:57:06Z,2019-06-21T14:44:30Z,8.79,1
"""df5ac4c0-9097-11e9-a113-3089952342a0""",2019-06-20T16:31:17Z,2019-06-22T00:42:08Z,32.18,0
"""b9ae1d10-8559-11e9-84c0-b833c0fff004""",2019-06-18T12:24:28Z,2019-06-18T22:54:28Z,10.50,0
"""c4e42bb0-9072-11e9-9778-78dcd7fb3fb1""",2019-06-23T02:19:59Z,2019-06-23T21:25:56Z,19.10,1
"""6a43faf0-6d1d-11e9-934c-6da0351009a4""",2019-06-19T16:30:25Z,2019-06-20T00:22:05Z,7.86,1
"""8575a4f0-9094-11e9-8bc9-b53c620c005c""",2019-06-21T05:38:58Z,2019-06-21T15:19:12Z,9.67,1
"""8575a4f0-9094-11e9-8bc9-b53c620c005c""",2019-06-22T02:59:06Z,2019-06-22T14:20:12Z,11.35,1
"""2d10f110-93a6-11e9-b95c-4ec95cc622d2""",2019-06-21T13:32:22Z,2019-06-22T12:46:24Z,23.23,1
"""3554fbb0-849b-11e9-afde-044193b75a7a""",2019-06-23T19:52:56Z,2019-06-24T09:56:17Z,14.06,1
"""4ee95140-84a3-11e9-8f76-07b9e4d2b10a""",2019-06-22T15:59:59Z,2019-06-23T15:29:45Z,23.50,1
"""080271c0-7fef-11e9-8c9a-720893960be7""",2019-06-18T00:28:06Z,2019-06-18T13:38:41Z,13.18,1
"""2c941bd0-7a7f-11e9-a85a-401776469379""",2019-06-20T06:04:59Z,2019-06-20T12:38:43Z,6.56,1
"""a3a7d650-7a87-11e9-b80d-c38776225ad6""",2019-06-26T04:59:17Z,2019-06-26T11:55:56Z,6.94,1
"""35e887c0-9091-11e9-9312-8b8be720d73a""",2019-06-23T23:36:18Z,2019-06-24T01:25:34Z,1.82,1
"""421f39c0-d576-11e8-af0a-2fec286ff8f1""",2019-06-26T18:15:45Z,2019-06-26T23:38:31Z,5.38,1
"""412c8ac0-6de4-11e9-a030-b1bc03838832""",2019-06-20T20:07:49Z,2019-06-21T12:49:30Z,16.69,1
"""3a85db30-800a-11e9-aa0e-68f5bbe5c159""",2019-06-19T00:12:54Z,2019-06-19T08:14:31Z,8.03,1
"""b42d25f0-93a7-11e9-b529-90dec7e7876d""",2019-06-25T00:24:28Z,2019-06-25T14:12:18Z,13.80,1
"""7f3e17e0-7ffd-11e9-836d-33b65a56f827""",2019-06-26T02:04:57Z,2019-06-26T06:19:25Z,4.24,1
"""91c9f8b0-849f-11e9-9710-08cdbad9509a""",2019-06-22T01:54:41Z,2019-06-23T15:45:41Z,37.85,1
"""74d7bc60-8008-11e9-98a8-1673ff7204a5""",2019-06-18T23:09:34Z,2019-06-19T16:18:16Z,17.15,1
"""722c5730-913a-11e9-8fd2-983a32c94a99""",2019-06-26T18:47:14Z,2019-06-26T20:21:26Z,1.57,0
"""ca941940-8c70-11e9-a18c-1c7edf20fce0""",2019-06-23T08:09:34Z,2019-06-23T17:02:58Z,8.89,0
"""e04f78a0-849c-11e9-a98a-3375bb1e36f5""",2019-06-24T04:25:50Z,2019-06-24T09:52:48Z,5.45,0
